,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.0518158,0.3960929742003388,0.22193463365260396,0.2892707067499888,2.6272
SKNN,0.034001800000000006,0.2532823143648981,0.14627515668970528,0.19742995244320732,18.3363
MUSE,0.00015940000000000003,0.0010746488207894255,0.004488168366045582,0.008539044175700016,48.3875
LARP,0.005117000000000001,0.03616270692338702,0.022277829999640522,0.029523533062936633,38.9879
PISA,2.8400000000000003e-05,0.00019750704696528757,0.003301786328736436,0.0076583788438300575,50.581
