,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.025792000000000002,0.05073552266813686,0.046441408770428176,0.03847951732321109,37.2154
MF-AVG,0.0288728,0.07870174654934985,0.06249413041028763,0.05322964271546525,30.691
SKNN,0.0258462,0.05153049981094954,0.04429776162020761,0.04499640533476944,39.4048
MUSE,0.0240562,0.03700528015150507,0.04604194861568142,0.03027063793467388,41.3717
LARP,0.025937599999999998,0.05289823865145505,0.04493286435169146,0.048761679110784134,38.9304
PISA,0.0225344,0.02278502040797333,0.029106633387092188,0.0226450104808382,49.4474
