,Precision,Recall,R-Precision,NDCG,Clicks,LongTail_Recall,LongTail_Coverage
MF-Transformer,0.025517200000000004,0.055648996680510605,0.05676366337517976,0.04033426476654557,38.2527,0.0,0.0016566167280754435
MUSE,0.0231416,0.03494988326445333,0.04404888758142896,0.028947800888118307,42.3387,0.00013987970345502866,0.1484979873070493
LARP,0.02476,0.048514857932857806,0.06035230227590489,0.03560179060694359,31.5711,0.0,2.8404940836566086e-05
PISA,0.0216598,0.02207019902975576,0.029049352090525123,0.021854873592471052,49.0994,0.00013987970345502866,0.12613822655780813
