,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.026512599999999997,0.05801050911696933,0.0583326565621451,0.042410477672607284,38.052
MUSE,0.022409600000000002,0.02246899409664433,0.027785531260338347,0.022436567333806594,49.7481
LARP,0.0257238,0.0517525606223347,0.04416116011633285,0.04639582105412399,39.1764
PISA,0.0224476,0.022787227454096087,0.02912063902713055,0.022601257057151016,49.2461
