,Precision,Recall,F1,R-Precision,NDCG,Clicks,LongTail_Recall,LongTail_Coverage
MF-Transformer,0.024466199999999997,0.054502011065980946,0.033771997241481104,0.05582273978505225,0.039581200621854565,37.9982,0.0,0.00166840606873833
MUSE,0.023097200000000002,0.043237100038364326,0.030109790754663503,0.04938735525461343,0.03298726661512358,38.2455,6.787944610371979e-05,0.121169892420771
LARP,0.023700799999999998,0.047567688821609465,0.03163788927937427,0.05946364782501239,0.03462281130565277,31.2239,6.787944610371979e-05,2.8398401170014127e-05
PISA,0.020451599999999997,0.02080243933047705,0.020625527832707612,0.02736306932449677,0.0206231927323006,49.2953,0.00033939723051859896,0.16883863724186615
