,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.0235066,0.055488961277586964,0.05574530541570584,0.03963152949524485,37.6466
NN-Transformer,0.0235066,0.055488961277586964,0.05574530541570584,0.03963152949524485,37.6466
FM-Transformer,0.0235066,0.055488961277586964,0.05574530541570584,0.03963152949524485,37.6466
MF-GRU,0.023226000000000004,0.05445952968624308,0.0472252942554889,0.03879455161613914,35.4152
MF-AVG,0.0256852,0.07595795276046353,0.06006598309724311,0.05079874093391436,30.8204
SKNN,0.022844999999999997,0.05052339494391603,0.04189796465994816,0.045310216906562596,39.2666
STAN,0.022844999999999997,0.05052339494391603,0.04189796465994816,0.045310216906562596,39.2666
MUSE,0.0209556,0.033999620472528344,0.043046346154523955,0.027317266669803376,41.4504
LARP,0.022626199999999996,0.04879005210500794,0.041476744528937,0.04486136388469474,39.4528
PISA,0.019334999999999998,0.019623603309442992,0.02577897843527385,0.019465417049929403,49.5563
