,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.023681,0.04804606056406572,0.044160482336800394,0.03610966788185327,37.4128
MF-AVG,0.026810000000000004,0.07562264615942034,0.060351265011971314,0.051099557191316196,30.9523
SKNN,0.02388,0.050050634356017164,0.042161840081764095,0.043296389955570586,39.5437
MUSE,0.022157,0.03478039867209228,0.04394094968279942,0.02848951387768618,41.501
LARP,0.024089399999999997,0.051100536440230174,0.04310698351128167,0.04658998785803113,38.9292
PISA,0.0205288,0.020726859603017466,0.025122080367269775,0.029192396912876922,49.5497
