,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.022709000000000003,0.05482810219679627,0.054973300697491685,0.038705393275480095,38.0059
MF-GRU,0.02255,0.05346153233045711,0.04671791486163458,0.038058634177521415,35.4394
MF-AVG,0.0250512,0.07520924778742165,0.059216823541466124,0.05029634420212258,30.8085
MUSE,0.018509999999999995,0.018561830644141415,0.024039423756296384,0.018534431723364105,49.9519
LARP,0.0217458,0.047173471881069476,0.03996651556679526,0.041673276110082154,39.4662
PISA,0.0185304,0.01874371492545767,0.025125486253769345,0.01862837292505387,49.6923
