,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.026829199999999997,0.05763015729489373,0.05829157894591924,0.04239169007434002,38.1685
NN-Transformer,0.026829199999999997,0.05763015729489373,0.05829157894591924,0.04239169007434002,38.1685
FM-Transformer,0.026829199999999997,0.05763015729489373,0.05829157894591924,0.04239169007434002,38.1685
MF-GRU,0.0266858,0.05664851534520301,0.05009926976215079,0.041742707715863796,35.3237
MF-AVG,0.029172000000000003,0.07818460826189803,0.06294936972301796,0.05355989206606714,30.8503
SKNN,0.0261168,0.052386881571234514,0.04428878674880878,0.04604910648506101,39.2538
STAN,0.0261168,0.052386881571234514,0.04428878674880878,0.04604910648506101,39.2538
MUSE,0.023527,0.029198159504390513,0.037504436033538875,0.02654367124077661,46.0698
LARP,0.026127399999999995,0.05252318385589614,0.04488013534520158,0.04910742537623371,39.0254
PISA,0.02273,0.022935118961839276,0.029297301070195864,0.02283200672909544,49.4589
