,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.024739200000000003,0.05450285357492845,0.05568717717895749,0.03958294291178997,38.2643
MUSE,0.02236,0.033806736737836275,0.04325774993539127,0.028192844375563846,42.6269
LARP,0.0240118,0.04794320603923157,0.059730031872896064,0.034954528155452545,31.6375
PISA,0.020856399999999997,0.02129227432059357,0.02816710166507796,0.021041688283924453,49.2009
