,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.0518158,0.3960929742003388,0.22193463365260396,0.2892707067499888,2.6272
MF-AVG,0.047535400000000005,0.35151563357534976,0.2056684779243713,0.26094954613654875,5.0574
SKNN,0.034001800000000006,0.2532823143648981,0.14627515668970528,0.19742995244320732,18.3363
MUSE,0.0013526,0.010010812080247615,0.011404861909428457,0.013607691464242146,44.9256
LARP,0.005117000000000001,0.03616270692338702,0.022277829999640522,0.029523533062936633,38.9879
PISA,3.2200000000000003e-05,0.00020964182995852426,0.0032714617526154567,0.007673357645203328,50.5002
