,Precision,Recall,R-Precision,NDCG,Clicks
MF-Transformer,0.024612000000000002,0.049625144065808716,0.04524812775365057,0.037416747821552875,37.1155
NN-Transformer,0.024612000000000002,0.049625144065808716,0.04524812775365057,0.037416747821552875,37.1155
FM-Transformer,0.024612000000000002,0.049625144065808716,0.04524812775365057,0.037416747821552875,37.1155
MF-GRU,0.02535,0.0558778746332007,0.04948165395698213,0.04087330622121449,35.1108
MF-AVG,0.027900800000000003,0.07656085783415381,0.06200898776788381,0.05274649562967103,30.5682
SKNN,0.024785199999999997,0.051707797663538134,0.04348181900438347,0.04550867437961421,39.1064
STAN,0.024785199999999997,0.051707797663538134,0.04348181900438347,0.04550867437961421,39.1064
MUSE,0.023022599999999997,0.03598087514871143,0.04503622681192107,0.029547219390984703,41.1806
LARP,0.0246724,0.049827844582051584,0.043060951817778075,0.04061546494978306,39.1178
PISA,0.021335399999999997,0.021558127946047678,0.027706878776155547,0.021441043141925475,49.4976
