,Precision,Recall,R-Precision,NDCG,Clicks,LongTail_Recall,LongTail_Coverage
MF-Transformer,0.0271092,0.056929707380500745,0.05840301076813054,0.04197243493337096,38.1248,0.0,0.0016648782760794554
MUSE,0.0245486,0.0352364675986227,0.04557611939189232,0.02978621041622489,42.4071,0.0,0.12943007358965014
LARP,0.026323399999999997,0.05117089220306493,0.062345645688483116,0.03748721114173089,31.1951,0.0,2.842475105501509e-05
PISA,0.023152199999999998,0.023537373173284196,0.03012242805601437,0.02333049951065612,49.1749,0.0,0.15834109092164209
