,Precision,Recall,R-Precision,NDCG,Clicks,FN_total,FN_cold,FN_cold_ratio,FP_total,FP_cold,FP_cold_ratio
MF-Transformer,0.0260382,0.05569566397687974,0.057458947231735794,0.04082762403895675,38.0884,565634.0,1586.0,0.0028039332854814243,4979809.0,1003.0,0.00020141334737938744
MUSE,0.0234968,0.03513109790930099,0.04429935517516168,0.029190532471311315,42.4473,578341.0,1586.0,0.0027423267587807195,4992516.0,403713.0,0.08086363669139969
LARP,0.0252036,0.049446470530609174,0.06096858225405858,0.03634319145962662,31.4143,569807.0,1586.0,0.0027833985893469192,4983982.0,10050.0,0.002016459931035064
PISA,0.0220614,0.022470742418920515,0.029414679763845823,0.022264625481573284,49.0993,585518.0,1586.0,0.0027087126271096705,4999693.0,932650.0,0.18654145364525382
